タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,連絡先,分類,災害種別,備考
口山基幹集落センター,美馬市穴吹町口山字調子野499-1,34.009143,134.144634,,,,,,,,,,,0883-56-0201,指定避難所（法指定）,,
西渕ふれあいの里,美馬市穴吹町口山字渕名485,34.024788,134.132584,,,,,,,,,,,,指定避難所（法指定）,地震,
初草ふれあい館,美馬市穴吹町口山字初草144,34.037484,134.161649,,,,,,,,,,,,指定避難所（法指定）,地震,
三島会館,美馬市穴吹町三島字舞中島1524,34.058068,134.139107,,,,,,,,,,,0883-53-6124,指定避難所（法指定）,"崖崩れ等,地震",
穴吹林業総合センター,美馬市穴吹町三島字三谷302-5,34.055313,134.135358,,,,,,,,,,,0883-53-8789,指定避難所（法指定）,地震,
三島小学校,美馬市穴吹町三島字三谷374,34.055566,134.129108,,,,,,,,,,,0883-52-1375,指定避難所（法指定）,"洪水,地震,内水反乱",
三島中学校,美馬市穴吹町三島字三谷356,34.055388,134.127885,,,,,,,,,,,0883-52-1146,指定避難所（法指定）,"洪水,地震,内水反乱",
穴吹中学校,美馬市穴吹町穴吹字井口23,34.043677,134.167185,,,,,,,,,,,0883-52-1046,指定避難所（法指定）,"洪水,地震,内水反乱",
穴吹小学校,美馬市穴吹町穴吹字柏40,34.046419,134.168596,,,,,,,,,,,0883-52-1059,指定避難所（法指定）,"洪水,地震,内水反乱",
穴吹スポーツセンター,美馬市穴吹町穴吹字藪ノ下5,34.047139,134.16977,,,,,,,,,,,0883-53-8888,指定避難所（法指定）,"崖崩れ等,地震",
穴吹農村環境改善センター,美馬市穴吹町穴吹字安成73,34.053377,134.170473,,,,,,,,,,,,指定避難所（法指定）,"崖崩れ等,地震",
うだつアリーナ,美馬市脇町新町196,34.067645,134.131984,,,,,,,,,,,0883-53-2424,指定避難所（法指定）,"崖崩れ等,地震",
江原南小学校,美馬市脇町字拝原829,34.072857,134.172024,,,,,,,,,,,0883-52-1189,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
脇町中学校,美馬市脇町大字猪尻字西ノ久保78,34.070391,134.15328,,,,,,,,,,,0883-52-1141,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
脇町小学校,美馬市脇町大字猪尻字西ノ久保116,34.070871,134.151489,,,,,,,,,,,0883-52-1165,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
脇町福祉センター,美馬市脇町大字脇町1265-1,34.070587,134.147369,,,,,,,,,,,0883-52-2141,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
江原中学校,美馬市脇町字曽江名359-41,34.089621,134.171927,,,,,,,,,,,0883-52-1140,指定避難所（法指定）,"崖崩れ等,地震",
江原北小学校,美馬市脇町字西赤谷3744-2,34.111858,134.171723,,,,,,,,,,,0883-52-1620,指定避難所（法指定）,"崖崩れ等,地震",
東俣ふれあいの里,美馬市脇町字東俣名320,34.134373,134.19331,,,,,,,,,,,,指定避難所（法指定）,"崖崩れ等,地震",
清水小学校,美馬市脇町字西俣名1069,34.156704,134.156177,,,,,,,,,,,0883-53-6604,指定避難所（法指定）,"崖崩れ等,地震",
大谷せせらぎの里,美馬市脇町字西大谷437,34.105181,134.143055,,,,,,,,,,,,指定避難所（法指定）,地震,
中ノ谷ふれあいの里,美馬市脇町字川原柴221,34.103259,134.115461,,,,,,,,,,,,指定避難所（法指定）,地震,
岩倉小学校,美馬市脇町岩倉2879,34.062352,134.113551,,,,,,,,,,,0883-52-1249,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
岩倉中学校,美馬市脇町別所3406,34.061495,134.107758,,,,,,,,,,,0883-52-3303,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
広域住民センター,美馬市脇町木ノ内3751,34.060053,134.104872,,,,,,,,,,,0883-52-3118,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
芝坂小学校,美馬市美馬町字南原26,34.064383,134.087035,,,,,,,,,,,0883-63-2039,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
郡里小学校,美馬市美馬町字助松158,34.056944,134.067492,,,,,,,,,,,0883-63-2010,指定避難所（法指定）,"崖崩れ等,地震",
喜来小学校,美馬市美馬町字天神63-1,34.048701,134.053553,,,,,,,,,,,0883-63-2034,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
寺町防災交流センター,美馬市美馬町字寺の下20-1,34.052114,134.060677,,,,,,,,,,,,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
重清西小学校,美馬市美馬町字八幡115,34.047206,134.017711,,,,,,,,,,,0883-63-2505,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
重清東小学校,美馬市美馬町字大泉51-1,34.051357,134.042795,,,,,,,,,,,0883-63-2506,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
美馬福祉センター,美馬市美馬町字中東原75,34.053048,134.047226,,,,,,,,,,,0883-63-2843,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
美馬中学校,美馬市美馬町字谷ヨリ西68,34.053033,134.04928,,,,,,,,,,,0883-63-2013,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
重清北交流館,美馬市美馬町字狙ヶ内26-3,34.086689,134.04228,,,,,,,,,,,,指定避難所（法指定）,地震,
美馬竜王の郷,美馬市美馬町字入倉657,34.096542,134.066774,,,,,,,,,,,,指定避難所（法指定）,地震,
西麻植公民館,吉野川市鴨島町西麻植字田渕129番地,34.06638071,134.3361954,,,,,,,,,,,0883-22-3310,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
阿波西高等学校（体育館）,阿波市阿波町下喜来南228-1,34.08715958,134.264377,,,,,,,,,,,0883-35-3131,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
阿波久勝公民館,阿波市阿波町庚申原218-1,34.08333005,134.2508968,,,,,,,,,,,0883-35-2026,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
阿波林公民館,阿波市阿波町南整理182-1,34.07214378,134.1981866,,,,,,,,,,,0883-35-2078,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",
阿波農村環境改善センター,阿波市阿波町東原173,34.08264024,134.2354183,,,,,,,,,,,0883-35-3939,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
阿波体育館,阿波市阿波町丸山22,34.07607589,134.2265037,,,,,,,,,,,,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
久勝小学校（体育館）,阿波市阿波町森沢28,34.08500989,134.2518087,,,,,,,,,,,0883-35-2136,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
林小学校（体育館）,阿波市阿波町東整理155-1,34.074151,134.2016571,,,,,,,,,,,0883-35-2039,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
伊沢小学校（体育館）,阿波市阿波町南柴生172,34.08923866,134.2288966,,,,,,,,,,,0883-35-2034,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
阿波中学校（体育館）,阿波市阿波町東原230-1,34.08578407,134.2347508,,,,,,,,,,,0883-35-2040,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
阿波伊沢公民館,阿波市阿波町南柴生84,34.08810206,134.2295514,,,,,,,,,,,0883-35-2152,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
阿波伊沢北分館,阿波市阿波町亀底199-1,34.129062,134.227331,,,,,,,,,,,,指定避難所（法指定）,"洪水,地震,内水反乱",
大俣公民館,阿波市市場町上喜来字田中602-3,34.10353023,134.2691083,,,,,,,,,,,0883-36-2284,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
八幡公民館,阿波市市場町大野島字稲荷112-1,34.09059449,134.3127797,,,,,,,,,,,0883-36-3004,指定避難所（法指定）,"洪水,崖崩れ等",
市場日開谷体育館,阿波市市場町日開谷字野田原25,34.12420874,134.2670545,,,,,,,,,,,,指定避難所（法指定）,"洪水,地震,内水反乱",
市場コミュニティセンター,阿波市市場町市場字上野段388,34.09000349,134.2846332,,,,,,,,,,,,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
八幡小学校（体育館）,阿波市市場町大野島字稲荷138-1,34.09102987,134.3114986,,,,,,,,,,,0883-36-3011,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
大俣小学校（体育館）,阿波市市場町上喜来字西原200,34.10398681,134.2625106,,,,,,,,,,,0883-36-2158,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
大影小学校（体育館）,阿波市市場町大影字境目39-1,34.1733051,134.2540616,,,,,,,,,,,,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",
市場中学校（体育館）,阿波市市場町市場字上野段6-3,34.09831877,134.2861787,,,,,,,,,,,0883-36-2046,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
市場小学校（体育館）,阿波市市場町市場字上野段670,34.08710668,134.2867687,,,,,,,,,,,0883-36-2019,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
土成地域資源活力工房,阿波市土成町宮川内字平間28-2,34.15099555,134.3523373,,,,,,,,,,,088-695-5405,指定避難所（法指定）,"洪水,地震,内水反乱",
土成コミュニティセンター,土成町土成字丸山10,34.11546,134.339709,,,,,,,,,,,088-695-2311,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
土成中学校（体育館）,阿波市土成町吉田字一本松の二42,34.11430072,134.3480088,,,,,,,,,,,088-695-2008,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
土成小学校（体育館）,阿波市土成町成当1203-1,34.10897129,134.3252255,,,,,,,,,,,088-695-3064,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
御所小学校（体育館）,阿波市土成町宮川内字広坪89,34.11939053,134.3619128,,,,,,,,,,,088-695-2004,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
吉野スポーツセンター,阿波市吉野町西条字大西6-1,34.09852769,134.3709713,,,,,,,,,,,088-696-2485,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
吉野中央ふれあいセンター,阿波市吉野町西条字宮ノ前27-1,34.099058,134.385873,,,,,,,,,,,088-696-2486,指定避難所（法指定）,"崖崩れ等,地震",
吉野コミュニティセンター,阿波市吉野町西条字大西28,34.09807074,134.3719765,,,,,,,,,,,,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",
阿波高等学校（体育館）,阿波市吉野町柿原字ヒロナカ180,34.09940797,134.3524547,,,,,,,,,,,088-696-3131,指定避難所（法指定）,"洪水,崖崩れ等,地震",
吉野中学校（体育館）,阿波市吉野町西条字大西4-1,34.09883939,134.3694641,,,,,,,,,,,088-696-2039,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
柿原小学校（体育館）,阿波市吉野町柿原字ヒロナカ256-1,34.09748368,134.3522193,,,,,,,,,,,088-696-2209,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事",
一条小学校（体育館）,阿波市吉野町西条字岡ノ川原135,34.10060722,134.3866348,,,,,,,,,,,088-696-2084,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事",
西麻植会館,吉野川市鴨島町西麻植中筋46番地1,34.06474536,134.3445854,,,,,,,,,,,0883-24-5779,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",
西麻植小学校・体育館,吉野川市鴨島町西麻植絵馬堂85番地2,34.0684272,134.3392853,,,,,,,,,,,0883-24-2622,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
西部田平集落センター,吉野川市美郷字宮倉55番地1,34.010863,134.259917,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事",
中村集落センター,吉野川市美郷字東條15番地2,33.98615687,134.2303001,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事",
中古井広域集落センター,吉野川市美郷字古井511番地5,34.011125,134.273076,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
城戸下浦高開集落センター,吉野川市美郷字下浦284番地1,34.009257,134.257129,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
東部集落センター,吉野川市美郷字重野尾170番地1,34.027046,134.272949,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
桁山集落センター,吉野川市美郷字中筋266番地4,34.02268,134.255118,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
種野集落センター,吉野川市美郷字刷石124番地1,34.038827,134.256105,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
上谷集落センター,吉野川市美郷字上谷68番地1,34.03199,134.30755,,,,,,,,,,,－,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",
中枝老人憩の家,吉野川市美郷字平250番地5,34.017196,134.263229,,,,,,,,,,,0883-43-2822,指定避難所（法指定）,"洪水,大規模な火事,内水反乱",
三山老人憩の家,吉野川市美郷字川俣8番地1,34.030363,134.25892,,,,,,,,,,,0883-43-2362,指定避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
東山老人憩の家,吉野川市美郷字栗木128番地3,34.032225,134.299917,,,,,,,,,,,0883-43-2451,指定避難所（法指定）,"洪水,大規模な火事,内水反乱",
美郷老人福祉センター,吉野川市美郷字毛無92番地2,34.030243,134.263983,,,,,,,,,,,0883-43-2811,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",
吉野川市ふるさとセンター,吉野川市美郷字中筋194番地1,34.025677,134.259831,,,,,,,,,,,0883-43-2811,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
中枝小学校・体育館,吉野川市美郷字平71番地2,34.017798,134.261974,,,,,,,,,,,－,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",地震はグラウンドのみ
美郷中学校・体育館,吉野川市美郷字川俣51番地,34.031074,134.256728,,,,,,,,,,,－,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",地震はグラウンドのみ
種野小学校,吉野川市美郷字川俣47番地,34.03132,134.256866,,,,,,,,,,,0883-43-2900,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",
東山小学校・体育館,吉野川市美郷字古土地155番地2,34.030804,134.298059,,,,,,,,,,,－,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",地震はグラウンドのみ
榎谷集会所,吉野川市山川町榎谷219番地,34.02762885,134.2256025,,,,,,,,,,,－,指定避難所（法指定）,"洪水,地震,大規模な火事,内水反乱",
舟戸農業構造改善センター,吉野川市山川町槻原55番地5,34.061596,134.203769,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
川田西小学校・体育館,吉野川市山川町川田429番地6,34.061592,134.208641,,,,,,,,,,,0883-42-2201,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
三ヶ名ふれあいセンター,吉野川市山川町村雲201番地5,34.058042,134.226285,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
中部農業構造改善センター,吉野川市山川町町103番地,34.046917,134.224997,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
川田中小学校・体育館,吉野川市山川町町字53番地,34.045881,134.225196,,,,,,,,,,,0883-42-2022,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
川田小学校・体育館,吉野川市山川町住吉189番地,34.047504,134.232255,,,,,,,,,,,0883-42-2010,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
吉野川市アメニティセンター,吉野川市山川町翁喜台95番地1,34.051902,134.232247,,,,,,,,,,,0883-42-6611,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
山川地域総合センター,吉野川市山川町翁喜台117番地,34.052431,134.231504,,,,,,,,,,,0883-42-4112,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",旧吉野川市山川庁舎
瀬詰教育集会所,吉野川市山川町諏訪411番地26,34.066687,134.250411,,,,,,,,,,,0883-42-7190,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
八坂会館,吉野川市山川町安楽寺182番地,34.055344,134.245916,,,,,,,,,,,0883-42-4345,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
山川体育館,吉野川市山川町大塚152番地,34.060908,134.233414,,,,,,,,,,,0883-42-6454,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",
山川中学校・体育館,吉野川市山川町前川261番地,34.061744,134.233253,,,,,,,,,,,0883-42-3137,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
忌部農業構造改善センター,吉野川市山川町忌部97番地3,34.059881,134.266735,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",
元木会館,吉野川市山川町宮島90番地1,34.060425,134.260469,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,大規模な火事,内水反乱",
西久保地区コミュニティセンター,吉野川市山川町西久保16番地20,34.059576,134.254857,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
山瀬小学校・体育館,吉野川市山川町諏訪266番地1,34.061486,134.249797,,,,,,,,,,,0883-42-2133,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
学島小学校・体育館,吉野川市川島町学字辻76番地,34.056108,134.281479,,,,,,,,,,,0883-25-2061,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事",
川島小学校・体育館,吉野川市川島町桑村2193番地,34.056779,134.313553,,,,,,,,,,,0883-25-2360,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事",
県立川島中学・高校,吉野川市川島町桑村367番地3,34.059299,134.325167,,,,,,,,,,,0883-25-2824,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
吉野川市交流センター,吉野川市川島町桑村2827番地70,34.060664,134.297256,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事",
こだま会館,吉野川市川島町桑村1878番地3,34.056108,134.298264,,,,,,,,,,,0883-25-2221,指定避難所（法指定）,"大規模な火事,内水反乱",
川島老人福祉センター,吉野川市川島町学字吉本34番地2,34.056802,134.284778,,,,,,,,,,,0883-25-2012,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
川島公民館学西分館,吉野川市川島町学字西出目226番地１,34.059106,134.273772,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
東児島老人憩の家,吉野川市川島町児島字長池98番地1,34.05961,134.289701,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
川島体育館,吉野川市川島町桑村2424番地1,34.060081,134.302953,,,,,,,,,,,0883-25-3080,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",
川島こども園,吉野川市川島町桑村2421番地1,34.060019,134.304374,,,,,,,,,,,0883-25-6690,指定避難所（法指定）,"崖崩れ等,地震,大規模な火事,内水反乱",こども園に変更
川島公民館,吉野川市川島町桑村860番地,34.060719,134.318282,,,,,,,,,,,0883-25-2180,指定避難所（法指定）,"洪水,崖崩れ等,大規模な火事,内水反乱",
城山老人福祉センター,吉野川市川島町川島146番地,34.065385,134.321337,,,,,,,,,,,0883-25-5522,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
川島公民館山田西分館,吉野川市川島町山田字芝生45番地1,34.056835,134.330816,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
平野コミュニティ,那賀町平野字妙見前1番地1,33.837191,134.452003,,,,,,,,,,,0884-62-1006,指定避難所（法定外）,,
鷲の里観光物産センター,那賀町和食郷字田野82,33.863042,134.501681,,,,,,,,,,,0884-62-3109,指定避難所（法定外）,,
那賀町地域子育て支援センター,那賀町阿井字寺西7番地,33.848986,134.480723,,,,,,,,,,,0884-64-1220,指定避難所（法定外）,,
わじきこども園,那賀町和食郷字八幡原1番地1,33.855015,134.502508,,,,,,,,,,,0884-62-2309,指定避難所（法定外）,,
那賀町阿井交流センター,那賀町阿井字杉の久保7番地4,33.849786,134.479697,,,,,,,,,,,0884-62-1183,指定避難所（法定外）,,
那賀町地域交流センター,那賀町和食郷字南川104番地1,33.857533,134.496732,,,,,,,,,,,0884-62-1183,指定避難所（法定外）,,
那賀高等学校体育館,那賀町小仁宇大坪179-1,33.857587,134.48154,,,,,,,,,,,0884-62-1151,指定避難所（法定外）,,
土佐集会所,那賀町土佐字南町110番地,33.857703,134.492977,,,,,,,,,,,0884-62-1183,指定避難所（法定外）,,
鷲敷野外活動センター,那賀町百合字松ノ木178番地,33.840368,134.494012,,,,,,,,,,,0884-62-2524,指定避難所（法定外）,,
Ｂ＆Ｇ海洋センター体育館,那賀町百合字松ノ木168番地1,33.840702,134.494795,,,,,,,,,,,0884-62-1300,指定避難所（法定外）,,
阿井体育館,那賀町阿井字杉の久保54番地1,33.849675,134.480842,,,,,,,,,,,0884-62-1183,指定避難所（法定外）,,
阿井公民館,那賀町阿井字杉の久保17番地1,33.850064,134.480985,,,,,,,,,,,0884-62-1183,指定避難所（法定外）,,
鷲敷小学校,那賀町和食字町117番地1,33.859666,134.499914,,,,,,,,,,,0884-62－2308,指定避難所（法定外）,,
鷲敷中学校,那賀町和食郷字南川119番地,33.857186,134.494951,,,,,,,,,,,0884-62-2016,指定避難所（法定外）,,
鷲敷中央公民館,那賀町和食郷字南川19番地3,33.859217,134.497118,,,,,,,,,,,0884-62-1183,指定避難所（法定外）,,
鷲敷体育館,那賀町和食郷字南川107番地,33.857337,134.496045,,,,,,,,,,,0884-62-2683,指定避難所（法定外）,,
鷲敷デイサービスセンター,那賀町和食郷字八幡原5番地1,33.85552,134.503212,,,,,,,,,,,0884-62-3456,指定避難所（法定外）,,
中山公民館,那賀町中山字とふめん36番地,33.859975,134.529648,,,,,,,,,,,0884-62-1183,指定避難所（法定外）,,
広野支所,神山町阿野字五反地295-1,34.026801,134.401406,,,,,,,,,,,088-678-1111,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",現在耐震工事中
広野小学校体育館,神山町阿野字広野42,34.02867525,134.403784,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
旧広野小学校,神山町阿野字広野42,34.02877306,134.4034621,,,,,,,,,,,088-678-0806,指定避難所（法指定）,"崖崩れ等,地震",生徒がいる場合は生徒優先
神山東中学校体育館,神山町阿野字広野22,34.02960183,134.4036213,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
広野小学校,神山町阿野字広野22,34.03006418,134.4038037,,,,,,,,,,,088-678-0352,指定避難所（法指定）,"崖崩れ等,地震",生徒がいる場合は生徒優先
阿川公民館,神山町阿野字地ノ平138-1,34.005282,134.355696,,,,,,,,,,,088-678-0332,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
阿川幼稚園,神山町阿野字地ノ平135-1,34.004762,134.356064,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
阿川小学校体育館,神山町阿野字地ノ平132-2,34.00526042,134.3564973,,,,,,,,,,,－,指定避難所（法指定）,,
阿川小学校,神山町阿野字地ノ平132-2,34.00579406,134.3557999,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
鬼籠野小学校一ノ坂分校,神山町鬼籠野字一ノ坂514,34.006451,134.421823,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
鬼籠野生活改善センター,神山町鬼籠野字川東118-1,33.98910766,134.3954624,,,,,,,,,,,088-676-0111,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
鬼籠野公民館,神山町鬼籠野字川東118-1,33.9890276,134.3952773,,,,,,,,,,,088-676-0111,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
鬼籠野幼稚園,神山町鬼籠野字川東119,33.9894436,134.3955802,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
鬼籠野小学校体育館,神山町鬼籠野字川東119,33.98908777,134.3955105,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
鬼籠野小学校,神山町鬼籠野字川東119,33.98877642,134.3957948,,,,,,,,,,,－,指定避難所（法指定）,,
神山中学校体育館,神山町神領字西上角175-1,33.9725489,134.3629273,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
神山中学校,神山町神領字西上角175-1,33.97279803,134.3627181,,,,,,,,,,,088-676-0506,指定避難所（法指定）,"崖崩れ等,地震",生徒がいる場合は生徒優先
神山町農村環境改善センター,神山町神領字中津132,33.968163,134.361707,,,,,,,,,,,088-676-1177,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
神山町民総合運動場,神山町神領字大埜地396,33.9694,134.359052,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",ヘリ降着適地
神山町民体育館,神山町神領字大埜地393-2,33.970157,134.35969,,,,,,,,,,,－,指定避難所（法指定）,,
神領公民館,神山町神領字大埜地389-1,33.969868,134.359657,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
神領幼稚園,神山町神領字大埜地408-3,33.969719,134.358222,,,,,,,,,,,088-676-0733,指定避難所（法指定）,"崖崩れ等,地震",児童がいる場合は児童優先
神領小学校体育館,神山町神領字大埜地411-1,33.96922068,134.3572464,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
神領小学校,神山町神領字大埜地411-1,33.969541,134.357579,,,,,,,,,,,088-676-0015,指定避難所（法指定）,"崖崩れ等,地震",生徒がいる場合は生徒優先
神山町役場,神山町神領字本野間100,33.96727,134.35042,,,,,,,,,,,088-676-1111,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
城西高校神山分校武道場,神山町神領字北399,33.96913471,134.3429147,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
城西高校神山分校体育館,神山町神領字北399,33.96902571,134.342515,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震",
城西高校神山分校,神山町神領字北399,33.96882551,134.3428771,,,,,,,,,,,088-676-0029,指定避難所（法指定）,"崖崩れ等,地震",生徒がいる場合は生徒優先
左右内小学校体育館,神山町下分字鍋岩168,33.987168,134.326248,,,,,,,,,,,－,指定避難所（法定外）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
下分保育所,神山町下分字西寺16-1,33.962156,134.313059,,,,,,,,,,,088-677-0222,指定避難所（法指定）,"崖崩れ等,地震",児童がいる場合は児童優先
下分小学校体育館,神山町下分字西寺28,33.96185801,134.3128182,,,,,,,,,,,－,指定避難所（法指定）,,
下分小学校,神山町下分字西寺28,33.96182465,134.3120833,,,,,,,,,,,－,指定避難所（法指定）,,
下分公民館,神山町下分字今井125-3,33.960053,134.310943,,,,,,,,,,,088-677-0004,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
上分中学校,神山町上分字川又南255,33.957598,134.283371,,,,,,,,,,,－,指定避難所（法指定）,,
上分公民館,神山町上分字川又西13,33.958783,134.279376,,,,,,,,,,,088-677-0010,指定避難所（法指定）,"洪水,崖崩れ等,地震,大規模な火事,内水反乱",
